Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea1,Lattitude,Longtitude,Regionname,Propertycount,Total Rooms,sum,Price2,CouncilArea,count
Abbotsford,25 Bloomburg St,2,House,1035000,Property Sold,Biggin,4/02/2016,2.5,3067,2,1,0,156,79,1900,Yarra ,-37.8079,144.9934,Northern Metropolitan,4019,3,1,1035000,YARRA,1
Abbotsford,5 Charles St,3,House,1465000,Sold Prior to Auction,Biggin,4/03/2017,2.5,3067,3,2,0,134,150,1900,Yarra ,-37.8093,144.9944,Northern Metropolitan,4019,5,1,1465000,YARRA,1
Abbotsford,55a Park St,4,House,1600000,Vender Bid,Nelson,4/06/2016,2.5,3067,3,1,2,120,142,2014,Yarra ,-37.8072,144.9941,Northern Metropolitan,4019,4,1,1600000,YARRA,1
Abbotsford,124 Yarra St,3,House,1876000,Property Sold,Nelson,7/05/2016,2.5,3067,4,2,0,245,210,1910,Yarra ,-37.8024,144.9993,Northern Metropolitan,4019,6,1,1876000,YARRA,1
Abbotsford,98 Charles St,2,House,1636000,Property Sold,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra ,-37.806,144.9954,Northern Metropolitan,4019,3,1,1636000,YARRA,1
Abbotsford,10 Valiant St,2,House,1097000,Property Sold,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra ,-37.801,144.9989,Northern Metropolitan,4019,4,1,1097000,YARRA,1
Abbotsford,40 Nicholson St,3,House,1350000,Vender Bid,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra ,-37.8085,144.9964,Northern Metropolitan,4019,5,1,1350000,YARRA,1
Abbotsford,123/56 Nicholson St,2,Unit,750000,Property Sold,Biggin,12/11/2016,2.5,3067,2,2,1,0,94,2009,Yarra ,-37.8078,144.9965,Northern Metropolitan,4019,4,1,750000,YARRA,1
Abbotsford,16 William St,2,House,1310000,Property Sold,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,1890,Yarra ,-37.809,144.9976,Northern Metropolitan,4019,3,1,1310000,YARRA,1
Abbotsford,42 Henry St,3,House,1200000,Property Sold,Jellis,16/07/2016,2.5,3067,3,2,1,113,110,1880,Yarra ,-37.8056,144.993,Northern Metropolitan,4019,5,1,1200000,YARRA,1
Abbotsford,78 Yarra St,3,House,1176500,Property Sold,LITTLE,16/07/2016,2.5,3067,2,1,1,138,105,1890,Yarra ,-37.8021,144.9965,Northern Metropolitan,4019,3,1,1176500,YARRA,1
Abbotsford,42 Valiant St,2,House,890000,Property Sold,Biggin,17/09/2016,2.5,3067,2,1,1,150,73,1985,Yarra ,-37.8011,145.0004,Northern Metropolitan,4019,3,1,890000,YARRA,1
Abbotsford,3/72 Charles St,4,House,1330000,Passed In,Kay,18/03/2017,2.5,3067,4,2,2,780,135,1900,Yarra ,-37.8073,144.9952,Northern Metropolitan,4019,6,1,1330000,YARRA,1
Abbotsford,138/56 Nicholson St,3,Unit,1090000,Property Sold,Jellis,18/03/2017,2.5,3067,3,2,2,4290,27,,Yarra ,-37.8078,144.9965,Northern Metropolitan,4019,5,1,1090000,YARRA,1
Abbotsford,6/219 Nicholson St,2,Unit,500000,Property Sold,Collins,18/06/2016,2.5,3067,2,1,1,0,60,1970,Yarra ,-37.8015,144.9972,Northern Metropolitan,4019,3,1,500000,YARRA,1
Abbotsford,52a William St,2,House,1100000,Passed In,Biggin,18/06/2016,2.5,3067,2,2,1,124,135,2013,Yarra ,-37.8079,144.9977,Northern Metropolitan,4019,4,1,1100000,YARRA,1
Abbotsford,49 Park St,2,House,1315000,Property Sold,Marshall,19/11/2016,2.5,3067,2,1,0,147,85,1900,Yarra ,-37.808,144.994,Northern Metropolitan,4019,3,1,1315000,YARRA,1
